piid,mod,signed,effective,completion,obligated,total_obligated,total_base_all,contracting_office,funding_office,pop_state,pop_city,pop_county,pop_zip,pop_cd,vendor,vendor_state,psc,psc_desc,naics,naics_desc,description,initiative,action_type
36C10X23F0090,P00002,2025-03-04,2023-09-28,2025-03-04,0.00,222050.57,222050.57,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,200011152,98,RB MANAGEMENT CONSULTANTS LLC,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,'EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING',EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23F0093,P00002,2025-03-04,2023-09-29,2025-03-04,0.00,1495983.84,3777359.28,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ANNANDALE,FAIRFAX,220032610,08,"CALADWICH CONSULTING, LLC",,R497,SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TERMINATE FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0036,P00003,2025-03-04,2023-01-31,2025-03-04,0.00,144125.00,198047.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),IL,CHICAGO HEIGHTS,COOK,604111003,02,"AGI INTERNATIONAL, INC.",,R610,SUPPORT- ADMINISTRATIVE:- PERSONAL PROPERTY MANAGEMENT,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",ANNUAL INVENTORY SERVICES - VISN 12 JESSE BROWN CHICAGO HEALTHCARE SYSTEM NOTICE OF TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,BPA CALL
36C10X23N0040,P00010,2025-03-04,2023-02-28,2025-02-25,0.00,62510917.49,63510917.49,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ALEXANDRIA,ALEXANDRIA CITY,223143121,08,"APTIVE HTG, LLC",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT- EHRM RAPID SUPPORT, P00009 EXERCISE -8 SECOND 3-MONTH EXTENSION",,DELIVERY ORDER
36C10X23N0047,P00002,2025-03-04,2023-02-28,2025-02-25,0.00,2368796.69,3594378.95,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ARLINGTON,ARLINGTON,222092211,08,RB MANAGEMENT CONSULTANTS LLC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0053,P00003,2025-03-04,2023-03-30,2025-03-04,0.00,2105089.56,4187128.22,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,200033061,98,"DISTRICT COMMUNICATIONS GROUP, LLC (THE)",,R701,SUPPORT- MANAGEMENT: ADVERTISING,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,,DELIVERY ORDER
36C10X23N0057,P00005,2025-03-04,2023-03-29,2025-02-25,0.00,3526503.84,6374955.79,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ALEXANDRIA,ALEXANDRIA CITY,223143359,08,"APTIVE HTG, LLC",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE - 'EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING',EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0076,P00007,2025-03-04,2023-05-10,2025-02-25,0.00,2598982.13,5098982.13,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ARLINGTON,ARLINGTON,222023829,08,RB MANAGEMENT CONSULTANTS LLC,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0094,P00004,2025-03-04,2023-07-24,2025-02-25,0.00,5605865.15,5605865.15,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,CHANTILLY,FAIRFAX,201513255,11,TITAN ALPHA LLC,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT- MODIFICATION TO INCREASE CONTRACT CEILING.,,DELIVERY ORDER
36C10X23N0103,P00003,2025-03-04,2023-07-03,2025-03-04,0.00,1683266.00,4271833.10,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,200011152,98,"RB CONSULTING, INC.",,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,REVISED LCATS TO MEET GOVERNMENT NEEDS,,DELIVERY ORDER
36C10X23N0125,P00002,2025-03-04,2023-09-28,2025-02-25,0.00,980129.24,6375525.60,STRATEGIC ACQUISITION CENTER FREDERICKSBURG (36C10G),SAC FREDERICK (36C10X),VA,CHANTILLY,FAIRFAX,201513933,11,TITAN ALPHA LLC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION,,DELIVERY ORDER
36C10X23N0129,P00006,2025-03-04,2023-08-27,2025-02-25,0.00,3224213.57,4846191.57,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,MANASSAS,PRINCE WILLIAM,201092243,10,"INFORMATION SCIENCES CONSULTING, INCORPORATED",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION - RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,,DELIVERY ORDER
36C10X23N0142,P00002,2025-03-04,2023-09-19,2025-03-04,0.00,1208114.88,3052062.40,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ARLINGTON,ARLINGTON,222092278,08,"TRILOGY FEDERAL, LLC",,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VHA INTEGRATED HEALTHCARE TRANSFORMATION (IHT) IDIQ CONTRACT- MODIFICATION TO ADD FREE AGENT PARTNERS AND INCLUDE FAR 52.204-27.,,DELIVERY ORDER
36C10X23N0146,P00006,2025-03-04,2023-09-29,2025-03-04,0.00,3684340.25,16284790.65,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,FREDERICKSBURG,FREDERICKSBURG CITY,224014912,07,"WORLDWIDE COUNTER THREAT SOLUTIONS, LLC",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"TERMINATE VECTOR TOPR 0127 OHVP MISSION CRITICAL SERVICES,	
EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING",EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0152,P00002,2025-03-04,2023-09-18,2025-02-25,0.00,982254.52,982254.52,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,200011152,98,COLEY & ASSOCIATES INC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MODIFICATION TO TERMINATE FOR CONVENIENCE (T4C),,DELIVERY ORDER
36C10X23N0154,P00002,2025-03-04,2023-09-20,2025-02-25,0.00,1966852.74,2994741.66,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ALEXANDRIA,ALEXANDRIA CITY,223143121,08,"APTIVE HTG, LLC",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION,,DELIVERY ORDER
36C10X23N0155,P00004,2025-03-04,2023-09-28,2025-02-25,0.00,7328844.17,20925377.07,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MD,FREDERICK,FREDERICK,217048344,06,"RB CONSULTING, INC.",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0158,P00003,2025-03-04,2023-09-29,2025-02-25,0.00,7477575.20,19126598.11,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ARLINGTON,ARLINGTON,222092297,08,"TRILOGY FEDERAL, LLC",,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE - COMPLETE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0161,P00003,2025-03-04,2023-09-29,2025-02-25,0.00,3160634.55,6440006.93,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,FAIRFAX STATION,FAIRFAX,220392201,11,"METRICS, LLC",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0163,P00002,2025-03-04,2023-09-28,2025-03-04,0.00,1866994.68,3771152.40,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MD,FREDERICK,FREDERICK,217046681,06,"RB CONSULTING, INC.",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATE CONTRACT,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0185,P00001,2025-03-04,2023-09-28,2025-03-04,0.00,0.00,0.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,200073822,98,"WASHINGTON BUSINESS DYNAMICS, LLC",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VECTOR PROGRAM,,DELIVERY ORDER
36C10X23N0186,P00001,2025-03-04,2023-09-28,2025-03-04,0.00,2500.00,2500.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ARLINGTON,ARLINGTON,222015417,08,BLAKE WILLSON GROUP LLC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VECTOR PROGRAM,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0187,P00001,2025-03-04,2023-09-28,2025-03-04,0.00,2500.00,2500.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,200024213,98,AVER LLC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VECTOR PROGRAM,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23N0188,P00001,2025-03-04,2023-09-28,2025-03-04,0.00,2500.00,2500.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),WA,GIG HARBOR,PIERCE,983329061,06,640 ACRES LLC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,VECTOR PROGRAM,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X23P0036,P00007,2025-03-04,2023-04-01,2025-02-25,0.00,2070036.78,3070723.98,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,FAIRFAX STATION,FAIRFAX,220393161,11,MILITARY SERVICE ALLIANCE INCORPORATED,,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,ACQUISITION LIFECYCLE FRAMEWORK (ALF) - FUNDING MOD ONLY TO CORRECT ALLOCATION DUE TO 6 CENT ROUNDING ERROR AND DEOBLIGATE 6 CENTS.,,PURCHASE ORDER
36C10X23P0111,P00002,2025-03-04,2023-09-20,2025-02-25,0.00,3222142.76,4868651.04,SAC FREDERICK (36C10X),VHACO SUPPORT SERVICES,MD,FREDERICK,FREDERICK,217046681,06,"RB CONSULTING, INC.",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
36C10X24C0011,P00002,2025-03-04,2024-04-12,2025-02-25,0.00,3758060.61,3758060.61,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ARLINGTON,ARLINGTON,222091800,08,"RIOS PARTNERS, LLC",,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE.,,DEFINITIVE CONTRACT
36C10X24C0021,P00001,2025-03-04,2024-08-05,2025-03-04,0.00,586000.00,1288480.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MD,GAITHERSBURG,MONTGOMERY,208785622,06,IBILITY LLC,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"TERMINATE VHA ENTERPRISE PROGRAM MANAGEMENT OFFICE (EPMO) PACT ACT
	

EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING",EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C10X24C0025,P00001,2025-03-04,2024-08-08,2025-02-25,0.00,2749044.39,2749044.39,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,STAFFORD,STAFFORD,225569052,07,"BEN ALLEGRETTI CONSULTING, INC",,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,IAW EO RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING RTWS - TERMINATION,,DEFINITIVE CONTRACT
36C10X24C0028,P00002,2025-03-04,2024-09-23,2025-02-25,0.00,577256.22,577256.22,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,CHESAPEAKE,CHESAPEAKE CITY,233222794,02,WATERFRONT TRAINING SOLUTIONS INC.,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE - RTWS,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C10X24C0031,P00001,2025-03-04,2024-09-16,2025-02-25,0.00,1951602.74,1951602.74,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,STAFFORD,STAFFORD,225564629,07,"BEN ALLEGRETTI CONSULTING, INC",,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,IAW EO RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING RTWS - TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C10X24C0032,P00001,2025-03-04,2024-09-09,2025-03-04,0.00,980146.44,1921433.99,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MD,FREDERICK,FREDERICK,217032817,06,SHOULDER 2 SHOULDER INC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE- RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING INITIATIVE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C10X24C0037,P00001,2025-03-04,2024-09-18,2025-03-04,0.00,2073895.12,2073895.12,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,204200001,98,"BLUE WATER THINKING,LLC",,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATE FOR CONVENIENCE.,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C10X24C0038,P00001,2025-03-04,2024-09-30,2025-02-25,0.00,1355229.84,1817663.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,204200001,98,"BOOK ZURMAN, INC.",,R499,SUPPORT- PROFESSIONAL: OTHER,541618,OTHER MANAGEMENT CONSULTING SERVICES,INTEGRATED HEALTH STANDARDS SUPPORT - TERMINATION,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C10X24C0039,P00002,2025-03-04,2024-09-30,2025-02-25,0.00,3803630.41,4957234.93,STRATEGIC ACQUISITION CENTER FREDERICKSBURG (36C10G),SAC FREDERICK (36C10X),MD,CAMBRIDGE,DORCHESTER,216132257,01,"SNOWBIRD AGILITY, INC.",,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,LEAN-AGILE COACHING AND IMPLEMENTATION PROGRAM P00002 - TERMINATION,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DEFINITIVE CONTRACT
36C10X24F0020,P00004,2025-03-04,2024-01-04,2025-03-04,0.00,3824548.26,5746747.56,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,200010001,98,ECHO FIVE GROUP LLC,,R401,SUPPORT- PROFESSIONAL: PERSONAL CARE (NON-MEDICAL),541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,THIS MODIFICATION IS A TERMINATION FOR CONVENIENCE. EO: RTWS,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X24F0042,P00004,2025-03-04,2024-03-08,2025-02-25,0.00,2171188.21,2171188.21,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,MCLEAN,FAIRFAX,221023605,11,"CPS PROFESSIONAL SERVICES, LLC",,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVIVENCE,,BPA CALL
36C10X24F0055,P00002,2025-03-04,2024-05-13,2025-02-25,0.00,1886762.64,6366024.72,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ASHBURN,LOUDOUN,201473394,10,WOODSIDE QUALITY LLC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE,,DELIVERY ORDER
36C10X24F0062,P00001,2025-03-04,2024-06-18,2025-02-25,0.00,3882556.49,3882556.49,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ASHBURN,LOUDOUN,201473876,10,WOODSIDE QUALITY LLC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,IAW EO RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING RTWS - TERMINATION,,DELIVERY ORDER
36C10X24N0059,P00002,2025-03-04,2024-01-26,2025-02-25,0.00,2284191.45,5855240.68,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ALEXANDRIA,ALEXANDRIA CITY,223043909,08,"GREEN-GATE TECHNOLOGY, INC",,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE.,,DELIVERY ORDER
36C10X24N0062,P00002,2025-03-04,2024-01-18,2025-02-25,0.00,1270853.55,1932138.65,SAC FREDERICK (36C10X),VHACO SUPPORT SERVICES,VA,CHANTILLY,FAIRFAX,201513933,11,RB MANAGEMENT CONSULTANTS LLC,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE,,DELIVERY ORDER
36C10X24N0068,P00003,2025-03-04,2024-01-25,2025-02-25,0.00,969851.93,969851.93,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,CHANTILLY,FAIRFAX,201513933,11,TITAN ALPHA LLC,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE,,DELIVERY ORDER
36C10X24N0137,P00002,2025-03-04,2024-05-16,2025-02-25,0.00,498701.96,991675.60,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,ALEXANDRIA,ALEXANDRIA CITY,223143359,08,"APTIVE HTG, LLC",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE,,DELIVERY ORDER
36C10X24N0140,P00003,2025-03-04,2024-06-16,2025-03-04,0.00,2773284.04,6759602.50,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MD,FREDERICK,FREDERICK,217032817,06,"SIERRA 7, INC.",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE-RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING INITIATIVE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X24N0164,P00001,2025-03-04,2024-08-23,2025-02-25,0.00,1157283.20,3488058.34,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,204200001,98,OMNI CONSULTING SOLUTIONS LLC,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X24N0172,P00002,2025-03-04,2024-09-02,2025-03-04,0.00,184546.37,1629823.97,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,FAIRFAX STATION,FAIRFAX,220391203,10,"METRICS, LLC",,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR THE GOVERNMENTS CONVENIENCE IAW FAR 52 212 4 PARA L,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X24N0177,P00005,2025-03-04,2024-09-16,2025-03-04,0.00,6275572.00,18494910.37,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),DC,WASHINGTON,DISTRICT OF COLUMBIA,200010001,98,"DURABANTE, LLC",,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"""EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING"" TERMINATION FOR CONVENIENCE.",EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X24N0183,P00001,2025-03-04,2024-09-30,2025-02-25,0.00,1668455.20,1668455.20,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),VA,FAIRFAX,FAIRFAX,220306112,11,"CLIENT FIRST TECHNOLOGIES, INC",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE 'RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
36C10X24N0191,P00002,2025-03-04,2024-09-30,2025-02-25,0.00,1165531.12,1165531.12,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),MD,FREDERICK,FREDERICK,217048344,06,"RB CONSULTING, INC.",,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOTICE OF TERMINATION FOR CONVENIENCE.EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,DELIVERY ORDER
